[8/1/2025 10:48:25 PM] [INFO] received Windows console close event; shutting log-core down
[8/1/2025 10:52:12 PM] [INFO] received Windows console close event; shutting log-core down
[8/1/2025 10:55:53 PM] [INFO] received Windows console close event; shutting log-core down
[8/1/2025 10:59:04 PM] [INFO] received Windows console close event; shutting log-core down
[8/1/2025 11:01:26 PM] [INFO] received Windows console close event; shutting log-core down
[8/1/2025 11:03:54 PM] [INFO] received Windows console close event; shutting log-core down
[8/1/2025 11:07:26 PM] [INFO] received Windows console close event; shutting log-core down
[8/1/2025 11:11:03 PM] [INFO] received Windows console close event; shutting log-core down
[8/1/2025 11:12:53 PM] [INFO] received Windows console close event; shutting log-core down
[8/1/2025 11:15:49 PM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 12:17:18 AM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 12:19:29 AM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 12:25:57 AM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 12:27:11 AM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 12:31:07 AM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 12:35:37 AM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 1:18:21 AM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 1:20:47 AM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 1:23:28 AM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 1:25:14 AM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 1:27:09 AM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 1:30:58 AM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 1:34:30 AM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 1:35:15 AM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 1:37:07 AM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 1:37:44 AM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 1:39:43 AM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 1:39:56 AM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 1:43:10 AM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 1:45:04 AM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 8:11:02 PM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 8:16:15 PM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 8:17:12 PM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 8:18:59 PM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 8:31:46 PM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 8:34:06 PM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 8:36:10 PM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 8:41:13 PM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 8:44:27 PM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 8:53:53 PM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 8:55:47 PM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 8:59:02 PM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 9:11:34 PM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 9:26:07 PM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 9:28:32 PM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 9:31:15 PM] [INFO] received Windows console close event; shutting log-core down
[8/2/2025 9:36:12 PM] [INFO] received Windows console close event; shutting log-core down
[8/3/2025 1:02:15 AM] [INFO] received Windows console close event; shutting log-core down
[8/3/2025 1:05:06 AM] [INFO] received Windows console close event; shutting log-core down
[8/3/2025 1:06:11 AM] [INFO] received Windows console close event; shutting log-core down
[8/3/2025 1:07:29 AM] [INFO] received Windows console close event; shutting log-core down
[8/3/2025 1:22:24 AM] [INFO] received Windows console close event; shutting log-core down
